# BUSCO version is: 5.7.1 
# The lineage dataset is: endopterygota_odb10 (Creation date: 2024-01-08, number of genomes: 56, number of BUSCOs: 2124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
7at33392	Complete	NC_007424.3	8167530	8086931	-	8392.8	6377	https://v10-1.orthodb.org/?query=7at33392	Spectrin repeat
123at33392	Complete	NC_007422.5	10025339	10045978	+	7866.0	3878	https://v10-1.orthodb.org/?query=123at33392	Dynein heavy chain, domain-1
263at33392	Complete	NC_007417.3	7548211	7564846	+	5790.6	3081	https://v10-1.orthodb.org/?query=263at33392	EGF-like calcium-binding domain
416at33392	Complete	NC_007418.3	18833363	18689959	-	4141.0	3276	https://v10-1.orthodb.org/?query=416at33392	Midasin AAA lid domain 5
693at33392	Complete	NC_007417.3	11470708	11484166	+	4507.1	2640	https://v10-1.orthodb.org/?query=693at33392	WD40 repeat
695at33392	Complete	NC_007419.2	1760969	1780563	+	2935.8	1999	https://v10-1.orthodb.org/?query=695at33392	SRCR domain
727at33392	Complete	NC_007417.3	1578821	1525111	-	3855.3	2391	https://v10-1.orthodb.org/?query=727at33392	Cation channel complex component UNC80, N-terminal
734at33392	Complete	NC_007418.3	11081274	11055585	-	3463.9	1924	https://v10-1.orthodb.org/?query=734at33392	Cell morphogenesis central region
764at33392	Complete	NC_007424.3	10963547	10977723	+	3859.2	2416	https://v10-1.orthodb.org/?query=764at33392	GPCR, family 2, extracellular hormone receptor domain
786at33392	Complete	NC_007420.3	13518238	13549024	+	2875.6	1983	https://v10-1.orthodb.org/?query=786at33392	EGF-like calcium-binding domain
799at33392	Complete	NC_007422.5	8554770	8574876	+	3698.2	2263	https://v10-1.orthodb.org/?query=799at33392	Ubiquitin specific protease, conserved site
805at33392	Complete	NC_007420.3	7524117	7546833	+	2630.8	1656	https://v10-1.orthodb.org/?query=805at33392	Ubiquitin specific protease, conserved site
818at33392	Complete	NC_007416.3	4707086	4695534	-	3590.5	1962	https://v10-1.orthodb.org/?query=818at33392	inositol 1,4,5-trisphosphate receptor isoform X1
832at33392	Complete	NC_007418.3	2943406	2863027	-	2273.4	1245	https://v10-1.orthodb.org/?query=832at33392	Dbl homology (DH) domain
892at33392	Missing
911at33392	Complete	NC_007418.3	18450482	18433160	-	846.7	926	https://v10-1.orthodb.org/?query=911at33392	Tudor domain
