Orthogroups	Stevens
7at33392	C
123at33392	B
263at33392	E
416at33392	A
693at33392	E
695at33392	G
727at33392	E
734at33392	A
764at33392	C
786at33392	D
799at33392	B
805at33392	D
818at33392	X
832at33392	A
911at33392	A
1040at33392	D
1224at33392	X
1226at33392	E
1447at33392	LG10
1503at33392	F
1556at33392	E
1561at33392	A
1673at33392	C
1815at33392	C
1864at33392	B
1903at33392	A
1937at33392	H
1964at33392	E
2010at33392	B
2351at33392	G
2366at33392	H
2376at33392	X
2382at33392	F
2416at33392	X
2473at33392	B
2565at33392	C
2645at33392	C
2647at33392	B
2650at33392	A
2690at33392	A
2789at33392	X
3036at33392	C
3209at33392	E
3472at33392	B
3519at33392	C
3572at33392	E
3627at33392	X
3733at33392	G
3737at33392	E
4074at33392	B
4223at33392	B
4339at33392	F
4484at33392	B
4595at33392	X
4701at33392	B
4774at33392	C
4915at33392	G
5068at33392	A
5169at33392	D
5263at33392	G
5266at33392	B
5384at33392	D
5437at33392	B
5668at33392	F
5695at33392	A
5830at33392	C
5918at33392	B
6081at33392	C
6111at33392	F
6183at33392	B
6420at33392	E
6526at33392	A
6540at33392	LG10
6551at33392	X
6679at33392	E
6697at33392	H
6700at33392	E
6911at33392	LG10
6988at33392	C
6994at33392	C
7081at33392	A
7103at33392	A
7116at33392	A
7153at33392	E
7239at33392	X
7359at33392	B
7407at33392	H
7448at33392	D
7475at33392	G
7509at33392	B
7690at33392	A
7692at33392	H
7736at33392	E
7759at33392	B
7813at33392	C
7857at33392	F
7877at33392	D
7888at33392	D
7902at33392	G
7915at33392	A
7919at33392	D
7925at33392	C
7933at33392	D
8025at33392	F
8063at33392	F
8137at33392	F
8178at33392	X
8408at33392	X
8550at33392	E
8561at33392	E
8607at33392	A
8676at33392	E
8689at33392	C
8740at33392	LG10
8777at33392	X
8839at33392	G
9071at33392	C
9080at33392	D
9083at33392	A
9126at33392	C
9189at33392	A
9194at33392	D
9206at33392	E
9376at33392	G
9404at33392	C
9432at33392	C
9436at33392	C
9531at33392	C
9603at33392	F
9679at33392	D
9910at33392	A
10409at33392	C
